Rank,Title,Year
1,The Shawshank Redemption,1994
2,The Godfather,1972
3,The Godfather: Part II,1974
4,The Dark Knight,2008
5,12 Angry Men,1957
6,Schindler's List,1993
7,The Lord of the Rings: The Return of the King,2003
8,Pulp Fiction,1994
9,The Good the Bad and the Ugly,1966
10,Fight Club,1999
11,The Lord of the Rings: The Fellowship of the Ring,2001
12,Forrest Gump,1994
13,Star Wars: Episode V - The Empire Strikes Back,1980
14,Inception,2010
15,The Lord of the Rings: The Two Towers,2002
16,One Flew Over the Cuckoo's Nest,1975
17,Goodfellas,1990
18,The Matrix,1999
19,Seven Samurai,1954
20,Cidade de Deus,2002
21,Se7en,1995
22,Star Wars,1977
23,The Silence of the Lambs,1991
24,It's a Wonderful Life,1946
25,La vita e bella,1997
26,The Usual Suspects,1995
27,Spirited Away,2001
28,Saving Private Ryan,1998
29,Léon,1994
30,Spider-Man: Into the Spider-Verse,2018
31,The Green Mile,1999
32,Interstellar,2014
33,Psycho,1960
34,American History X,1998
35,City Lights,1931
36,Once Upon a Time in the West,1968
37,Casablanca,1942
38,Modern Times,1936
39,The Pianist,2002
40,Intouchables,2011
41,The Departed,2006
42,Terminator 2: Judgment Day,1991
43,Back to the Future,1985
44,Whiplash,2014
45,Rear Window,1954
46,Raiders of the Lost Ark,1981
47,The Lion King ,1994
48,Gladiator,2000
49,The Prestige,2006
50,Apocalypse Now,1979
51,Memento,2000
52,Alien,1979
53,The Great Dictator,1940
54,Nuovo Cinema Paradiso,1988
55,Hotaru no haka,1988
56,Avengers: Infinity War,2018
57,Sunset Boulevard,1950
58,Das Leben der Anderen,2006
59,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
60,Paths of Glory,1957
61,The Shining,1980
62,Django Unchained,2012
63,WALL·E,2008
64,Princess Mononoke,1997
65,Witness for the Prosecution,1957
66,American Beauty,1999
67,The Dark Knight Rises,2012
68,Oldeuboi,2003
69,Aliens,1986
70,Once Upon a Time in America,1984
71,Coco,2017
72,Das Boot,1981
73,Citizen Kane,1941
74,Braveheart,1995
75,Vertigo,1958
76,North by Northwest,1959
77,Reservoir Dogs,1992
78,Star Wars: Episode VI - Return of the Jedi,1983
79,M - Eine Stadt sucht einen Mörder,1931
80,Kimi no na wa.,2016
81,Amadeus,1984
82,Requiem for a Dream,2000
83,Dangal,2016
84,Taare Zameen Par,2007
85,Lawrence of Arabia,1962
86,Eternal Sunshine of the Spotless Mind,2004
87,A Clockwork Orange,1971
88,3 Idiots,2009
89,2001: A Space Odyssey,1968
90,Amélie,2001
91,Toy Story,1995
92,Double Indemnity,1944
93,Taxi Driver,1976
94,Singin' in the Rain,1952
95,Inglourious Basterds,2009
96,Full Metal Jacket,1987
97,To Kill a Mockingbird,1962
98,Ladri di biciclette,1948
99,The Kid,1921
100,The Sting,1973
101,Good Will Hunting,1997
102,Toy Story 3,2010
103,Jagten,2012
104,Snatch,2000
105,Scarface,1983
106,Monty Python and the Holy Grail,1975
107,For a Few Dollars More,1965
108,L.A. Confidential,1997
109,The Apartment,1960
110,Metropolis,1927
111,Jodaeiye Nader az Simin,2011
112,Indiana Jones and the Last Crusade,1989
113,Rashômon,1950
114,Up,2009
115,All About Eve,1950
116,Batman Begins,2005
117,Yôjinbô,1961
118,Some Like It Hot,1959
119,Unforgiven,1992
120,Der Untergang,2004
121,Die Hard,1988
122,The Treasure of the Sierra Madre,1948
123,Heat,1995
124,Ikiru,1952
125,Incendies,2010
126,Raging Bull,1980
127,The Great Escape,1963
128,Bacheha-Ye aseman,1997
129,El laberinto del fauno,2006
130,Babam ve Oglum,2005
131,Chinatown,1974
132,The Third Man,1949
133,Bohemian Rhapsody,2018
134,Tonari no Totoro,1988
135,Hauru no ugoku shiro,2004
136,Ran,1985
137,Judgment at Nuremberg,1961
138,El secreto de sus ojos,2009
139,The Gold Rush,1925
140,The Bridge on the River Kwai,1957
141,A Beautiful Mind,2001
142,"Lock, Stock and Two Smoking Barrels",1998
143,Casino,1995
144,"Three Billboards Outside Ebbing, Missouri",2017
145,On the Waterfront,1954
146,Det sjunde inseglet,1957
147,Inside Out,2015
148,The Elephant Man,1980
149,Room,2015
150,The Wolf of Wall Street,2013
151,Mr. Smith Goes to Washington,1939
152,V for Vendetta,2005
153,Warrior,2011
154,Blade Runner,1982
155,Dial M for Murder,1954
156,Smultronstället,1957
157,The General,1926
158,No Country for Old Men,2007
159,Trainspotting,1996
160,There Will Be Blood,2007
161,The Sixth Sense,1999
162,Gone with the Wind,1939
163,The Thing,1982
164,Fargo,1996
165,Gran Torino,2008
166,Roma ,2018
167,The Deer Hunter,1978
168,Finding Nemo,2003
169,Idi i smotri,1985
170,The Big Lebowski,1998
171,Shutter Island,2010
172,Sherlock Jr.,1924
173,Kill Bill: Vol. 1,2003
174,Cool Hand Luke,1967
175,Rebecca,1940
176,Tôkyô monogatari,1953
177,Mary and Max,2009
178,Hacksaw Ridge,2016
179,Gone Girl,2014
180,How to Train Your Dragon,2010
181,Sunrise: A Song of Two Humans,1927
182,Relatos salvajes,2014
183,Jurassic Park,1993
184,Into the Wild,2007
185,Life of Brian,1979
186,In the Name of the Father,1993
187,The Truman Show,1998
188,The Grand Budapest Hotel,2014
189,Platoon,1986
190,Stand by Me,1986
191,It Happened One Night,1934
192,Eskiya ,1996
193,Network,1976
194,Stalker,1979
195,Persona,1966
196,Salinui chueok,2003
197,Ben-Hur,1959
198,Hotel Rwanda,2004
199,12 Years a Slave,2013
200,Million Dollar Baby,2004
201,La passion de Jeanne d'Arc,1928
202,Rush,2013
203,Andrey Rublev,1966
204,Le salaire de la peur,1953
205,Before Sunrise,1995
206,Mad Max: Fury Road,2015
207,Les quatre cents coups,1959
208,Prisoners,2013
209,Hachi: A Dog's Tale,2009
210,Spotlight,2015
211,Logan,2017
212,Rang De Basanti,2006
213,Amores perros,2000
214,The Princess Bride,1987
215,Catch Me If You Can,2002
216,Kaze no tani no Naushika,1984
217,Harry Potter and the Deathly Hallows: Part 2,2011
218,Butch Cassidy and the Sundance Kid,1969
219,Rocky,1976
220,Barry Lyndon,1975
221,"Monsters, Inc.",2001
222,The Grapes of Wrath,1940
223,The Maltese Falcon,1941
224,Dead Poets Society,1989
225,Donnie Darko,2001
226,The Terminator,1984
227,Gandhi,1982
228,Les diaboliques,1955
229,La haine,1995
230,Groundhog Day,1993
231,The Wizard of Oz,1939
232,Jaws,1975
233,Le notti di Cabiria,1957
234,The Help,2011
235,Faa yeung nin wa,2000
236,Mandariinid,2013
237,Before Sunset,2004
238,Paper Moon,1973
239,Ah-ga-ssi,2016
240,"Paris, Texas",1984
241,The Best Years of Our Lives,1946
242,Tenkû no shiro Rapyuta,1986
243,Pirates of the Caribbean: The Curse of the Black Pearl,2003
244,Blade Runner 2049,2017
245,La La Land,2016
246,Guardians of the Galaxy,2014
247,Fanny och Alexander,1982
248,Tsubaki Sanjûrô,1962
249,Gangs of Wasseypur,2012
250,Drishyam ,2015
